0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,9,8,9,8,7,7,7,7,5,3,4,3,3,3,3,3,5,5,4,4,5,5,6,6,6,6,7,10,11,10,13,17,19,19,18,19,19,20,21,20,20,20,19,20,21,21,21,19,19,19,18,17,17,17,16,15,15,16,15,14,12,11,11,9,7,4,2,2,1,1,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,9,10,11,12,12,12,10,10,10,11,11,9,9,8,7,7,6,5,4,3,4,4,4,4,3,3,4,3,4,6,7,6,7,10,13,14,13,14,14,15,18,19,19,19,18,18,19,20,21,21,20,21,20,20,19,19,19,17,15,14,16,15,14,13,12,12,10,9,7,4,1,2,1,1,2,3,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,10,10,10,9,9,10,10,10,11,10,9,9,10,11,10,11,10,10,11,11,10,9,7,6,6,6,4,3,3,3,3,3,3,4,4,4,4,6,7,7,7,8,9,10,14,15,16,15,15,15,16,19,20,19,20,21,20,20,20,20,20,19,17,16,15,15,15,14,13,12,11,11,8,5,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,7,6,7,7,8,8,8,9,9,8,8,8,8,8,8,8,8,8,9,9,10,11,12,11,11,11,11,10,7,6,5,5,6,5,3,3,3,3,3,4,5,4,4,5,6,6,8,9,10,10,11,12,12,14,16,17,16,18,20,19,19,20,20,21,20,18,16,14,15,14,14,14,12,12,11,9,7,5,3,1,0,1,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,5,6,6,5,6,6,7,7,8,8,7,7,8,7,8,8,7,7,7,6,7,6,6,8,8,9,10,12,13,13,12,11,11,9,9,9,7,7,6,5,5,5,5,4,3,3,4,5,4,6,7,7,8,10,10,10,12,13,12,14,17,18,18,19,19,19,20,20,19,17,16,15,14,15,13,12,12,11,11,9,7,4,3,1,1,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,7,7,7,7,8,8,9,8,8,8,8,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,7,7,7,5,7,9,11,12,13,14,14,14,14,14,12,11,10,9,8,7,7,6,5,5,4,4,4,3,4,5,6,6,7,8,8,9,11,10,12,14,16,18,18,17,18,20,20,18,18,17,15,15,14,13,13,12,12,12,10,8,7,5,3,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,8,8,9,9,10,9,10,10,10,9,8,8,7,8,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,8,7,7,7,7,7,8,10,12,14,15,16,16,15,14,13,13,11,9,9,8,7,7,7,6,6,5,5,4,4,4,3,5,6,7,8,8,9,11,14,15,16,16,17,18,18,19,19,19,17,15,13,15,14,13,13,12,10,11,9,7,6,4,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,10,10,10,10,10,9,9,9,9,10,10,9,8,8,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,8,8,8,11,13,14,15,15,15,16,16,14,14,13,12,11,10,10,9,8,8,6,6,5,4,4,4,4,5,5,6,7,8,11,13,14,14,15,15,18,20,20,20,17,14,15,16,14,13,13,12,11,11,10,9,8,5,3,2,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,9,10,10,10,10,10,10,9,9,9,9,8,9,10,10,9,9,9,8,9,9,9,9,10,10,10,10,10,9,10,9,9,9,9,9,10,10,10,10,10,10,10,9,9,9,8,7,7,7,8,10,12,13,14,17,17,17,17,16,15,14,13,11,11,10,9,8,8,7,6,5,4,3,3,4,5,6,7,8,9,11,11,13,15,17,18,19,19,17,15,17,17,15,14,14,12,13,11,10,11,9,5,3,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,9,9,10,10,9,10,10,9,9,10,9,9,9,9,9,9,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,7,6,7,7,8,10,11,13,14,15,16,17,17,17,16,14,14,12,11,10,9,8,7,6,6,4,3,3,4,5,5,6,8,9,10,12,15,16,16,18,19,18,17,18,17,15,15,14,13,13,12,12,11,9,7,4,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,10,9,9,9,9,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,10,9,9,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,9,8,7,8,8,7,7,9,9,11,14,15,16,16,16,16,16,15,14,13,11,9,8,8,7,6,5,4,4,4,4,5,6,8,10,10,13,14,13,17,21,19,18,19,17,16,14,13,14,14,13,11,10,9,9,6,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,13,14,15,12,10,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,9,10,10,10,10,9,9,9,9,8,8,8,6,6,7,8,10,11,11,12,14,15,15,15,15,13,11,11,9,9,8,6,6,5,3,3,4,5,6,7,8,10,10,12,17,19,18,19,19,18,16,14,14,14,13,12,11,10,10,10,8,4,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,9,10,13,14,14,12,10,9,9,9,9,10,10,10,10,11,10,10,10,10,10,10,10,10,10,9,9,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,9,10,10,10,10,10,9,7,7,7,7,7,8,8,8,10,11,12,14,14,14,14,13,11,9,8,8,7,6,5,4,4,4,5,6,7,8,9,12,14,16,17,19,19,19,17,16,14,13,13,12,12,12,11,11,9,4,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,9,8,8,8,9,11,13,11,11,10,10,10,9,9,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,9,10,10,10,10,10,10,10,9,9,10,10,9,9,9,9,9,9,8,7,8,9,8,9,11,13,14,15,13,12,10,9,8,8,6,6,5,4,4,4,4,5,7,8,10,12,14,16,17,18,19,19,18,15,13,13,13,14,12,11,11,9,6,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,9,8,8,8,7,8,9,10,11,12,11,10,10,11,11,10,10,10,11,11,10,11,10,10,10,10,10,10,10,10,9,10,9,9,9,10,10,10,10,10,10,11,11,11,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,9,9,9,10,10,9,9,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,9,9,9,9,9,11,12,14,14,14,12,11,9,7,6,6,5,5,4,3,3,4,6,7,8,9,12,13,13,15,17,20,19,16,14,13,14,14,13,12,11,10,7,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,7,8,8,8,8,7,8,8,9,10,10,11,11,10,10,10,10,11,10,10,10,11,11,10,11,11,11,10,10,10,10,10,10,10,10,9,10,9,9,10,10,10,10,10,11,11,11,10,10,10,9,9,9,9,10,10,10,10,10,10,10,10,9,9,9,10,10,10,9,9,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,10,9,9,9,9,8,9,9,11,13,14,15,14,12,10,8,7,6,6,6,5,4,3,4,4,5,6,8,9,10,10,11,15,19,20,18,15,14,13,14,13,12,11,10,8,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,8,8,8,8,8,8,8,8,8,8,8,10,11,11,10,10,10,11,11,10,11,10,10,11,11,10,11,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,11,10,10,10,10,10,9,9,9,10,10,10,10,10,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,8,10,12,14,14,13,12,11,9,7,7,6,6,5,4,4,3,5,5,5,8,9,8,10,14,19,20,19,16,13,13,14,13,12,11,11,9,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,8,8,9,9,8,7,9,10,10,10,9,8,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,8,9,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,9,9,9,8,8,7,8,10,13,14,14,14,13,11,8,6,6,6,6,5,4,4,4,3,4,6,7,9,11,14,18,19,20,18,13,13,14,14,13,11,11,9,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,8,7,8,8,7,8,7,8,10,11,11,11,11,10,10,9,10,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,8,9,10,10,10,10,10,11,11,10,10,10,10,9,10,10,10,10,10,10,10,10,10,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,9,9,9,9,8,7,8,10,13,14,15,15,12,9,7,6,6,6,5,5,4,3,2,3,3,6,9,12,13,14,18,20,18,14,13,14,14,13,12,11,10,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
